,Age,Gender_ذكر,Home Region,Program Main Category Code,Technology Type,Program Skill Level,Program Presentation Method,Program Days,Completed Degree,Level of Education,Education Speaciality,College_تكنولوجيا الاتصالات والمعلومات,Employment Status,Job Type,Y,Degree_Score_Pct
478,24.0,1,منطقة مكة المكرمة,TOSL,مفقود,متوسط,حضوري,54,نعم,البكالوريوس,غير متخصص,1,غير موظف,تدريب,0,65.75
479,28.0,1,منطقة الرياض,PCRF,تقليدية,مبتدئ,حضوري,12,نعم,البكالوريوس,تجارة الكترونية,1,خريج,مفقود,0,68.5
480,21.0,0,منطقة مكة المكرمة,APMR,مفقود,متوسط,حضوري,5,لا,البكالوريوس,علوم حاسب,1,طالب,مفقود,1,96.6
481,33.0,1,منطقة الرياض,GRST,مفقود,متوسط,حضوري,5,لا,البكالوريوس,شبكات الحاسب الآلي,1,موظف,دوام كامل,1,60.0
482,25.0,1,منطقة الرياض,PCRF,تقليدية,متقدم,حضوري,4,نعم,البكالوريوس,حاسب الي - نظم المعلومات,1,غير موظف,مفقود,0,89.0
483,28.0,0,المنطقة الشرقية,APMR,مفقود,مفقود,عن بعد,5,نعم,الدبلوم,تقنية المعلومات,1,موظف,دوام كامل,0,100.0
484,35.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,5,نعم,البكالوريوس,نظم معلومات,1,موظف,مفقود,0,80.0
485,24.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,26,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,1,90.19999999999999
486,23.0,0,منطقة عسير,CAUF,مفقود,مفقود,حضوري,26,لا,البكالوريوس,نظم المعلومات,1,موظف,دوام كامل,0,81.8
487,31.0,1,منطقة الرياض,TOSL,مفقود,مبتدئ,حضوري,5,نعم,البكالوريوس,هندسة حاسب,1,موظف,مفقود,0,80.0
488,29.0,1,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,دوام كامل,0,40.0
489,29.0,1,منطقة الرياض,PCRF,مفقود,متوسط,حضوري,12,لا,البكالوريوس,نظم معلومات,1,موظف,مفقود,0,78.0
490,42.0,1,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,اكترونيات صناعية وتحكم,1,موظف,مفقود,0,97.8
491,25.0,1,منطقة الرياض,PCRF,تقليدية,مبتدئ,عن بعد,19,لا,البكالوريوس,شبكات الحاسب الآلي,1,غير موظف,دوام كامل,0,61.6
492,26.0,0,منطقة الرياض,TOSL,تقليدية,متقدم,حضوري,44,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,80.0
493,24.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,54,نعم,البكالوريوس,تقنيه المعلومات,1,خريج,مفقود,0,90.99999999999999
494,23.0,0,المنطقة الشرقية,APMR,مفقود,مفقود,حضوري,292,نعم,البكالوريوس,علوم حاسب,1,غير موظف,تدريب,0,88.00000000000001
495,24.0,1,منطقة الرياض,APMR,تقليدية,متوسط,عن بعد,5,لا,البكالوريوس,نظم معلومات,1,موظف,مفقود,1,89.2
496,31.0,0,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,12,نعم,الماجستير,Telecommunication And Networking Engineering,1,موظف,مفقود,0,70.0
497,22.0,1,المنطقة الشرقية,ABIR,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,طالب,مفقود,0,60.0
498,32.0,0,منطقة الرياض,PCRF,تقليدية,مبتدئ,حضوري,12,نعم,البكالوريوس,نظم المعلومات,1,موظف - طالب,دوام كامل,0,79.0
499,25.0,0,منطقة مكة المكرمة,CAUF,تقليدية,متوسط,حضوري,26,لا,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,1,55.75
500,23.0,1,منطقة مكة المكرمة,PCRF,تقليدية,متوسط,حضوري,173,نعم,البكالوريوس,أمن سيبراني,1,خريج,مفقود,0,88.80000000000001
501,40.0,0,منطقة الرياض,INFA,تقليدية,مبتدئ,عن بعد,5,نعم,الماجستير,Space Science,1,موظف,مفقود,0,98.80000000000001
502,34.0,1,منطقة الرياض,PCRF,داعمة,مبتدئ,حضوري,5,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,80.0
503,20.0,0,منطقة الرياض,PCRF,مفقود,مبتدئ,حضوري,12,نعم,البكالوريوس,الجرافيكس والوسائط المتعددة,0,طالب,مفقود,0,93.2
504,20.0,0,منطقة عسير,PCRF,تقليدية,مبتدئ,حضوري,5,لا,البكالوريوس,نظم معلومات,1,طالب,مفقود,1,98.00000000000001
505,33.0,1,منطقة الرياض,CAUF,داعمة,متوسط,حضوري,5,نعم,البكالوريوس,هندسة حاسب,1,موظف,مفقود,0,71.75
506,28.0,0,منطقة الرياض,CAUF,داعمة,متوسط,حضوري,5,نعم,البكالوريوس,لغات وترجمه اللغه الانجليزيه,1,موظف,مفقود,0,79.2
507,22.0,0,منطقة مكة المكرمة,APMR,تقليدية,متوسط,عن بعد,12,نعم,البكالوريوس,علوم حاسب,1,طالب,مفقود,0,99.75
508,21.0,1,منطقة مكة المكرمة,APMR,مفقود,مفقود,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,طالب,مفقود,0,100.0
509,23.0,1,منطقة الرياض,PCRF,مفقود,متوسط,حضوري,12,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,95.19999999999999
510,25.0,0,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,80.0
511,30.0,0,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,40,نعم,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,1,94.39999999999999
512,24.0,0,منطقة الرياض,PCRF,داعمة,مبتدئ,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,80.0
513,21.0,1,منطقة الرياض,TOSL,مفقود,مبتدئ,حضوري,12,نعم,ثانوي,هندسة برمجيات,1,طالب,مفقود,0,99.73
514,23.0,1,منطقة مكة المكرمة,PCRF,مفقود,مبتدئ,عن بعد,12,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,95.0
515,30.0,0,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,12,نعم,الدبلوم,تقنية المعلومات,1,غير موظف,دوام كامل,0,89.2
516,27.0,1,منطقة الرياض,DTFH,ناشئة,مبتدئ,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,71.8
517,23.0,0,منطقة الرياض,PCRF,مفقود,مفقود,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,95.60000000000001
518,23.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,54,نعم,البكالوريوس,تقنية المعلومات,1,خريج,مفقود,0,97.39999999999999
519,35.0,1,منطقة الرياض,GRST,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف - طالب,دوام كامل,0,80.0
520,22.0,0,منطقة الرياض,APMR,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,نظم المعلومات الإدارية,0,غير موظف,تدريب,0,95.75
521,27.0,0,منطقة الرياض,TOSL,تقليدية,متقدم,حضوري,44,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,60.0
522,21.0,0,منطقة عسير,APMR,مفقود,مفقود,حضوري,5,لا,البكالوريوس,نظم المعلومات,1,طالب,مفقود,1,80.0
523,25.0,1,المنطقة الشرقية,CAUF,تقليدية,مبتدئ,حضوري,5,نعم,ثانوي,علوم حاسب,1,طالب,مفقود,0,88.0
524,29.0,1,منطقة الرياض,PCRF,تقليدية,مبتدئ,عن بعد,19,لا,البكالوريوس,نظم المعلومات,1,موظف,مفقود,0,53.800000000000004
525,26.0,1,منطقة الرياض,TOSL,تقليدية,مبتدئ,حضوري,12,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,99.4
526,20.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,نعم,البكالوريوس,تصميم المنتجات,1,طالب,مفقود,0,80.0
527,27.0,0,المنطقة الشرقية,SERU,تقليدية,متوسط,عن بعد,5,لا,الدبلوم,الموارد البشرية,0,موظف,دوام كامل,1,80.0
528,25.0,0,المنطقة الشرقية,CAUF,مفقود,مبتدئ,عن بعد,5,لا,البكالوريوس,علوم حاسب,1,غير موظف,تدريب,0,60.0
529,26.0,1,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,5,لا,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,1,86.5
530,26.0,0,منطقة تبوك,CAUF,مفقود,مبتدئ,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,1,91.4
531,23.0,1,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,26,نعم,ثانوي,علوم حاسب,1,عمل حر,مفقود,0,93.0
532,25.0,1,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,54,نعم,الدبلوم,علوم حاسب,1,موظف,تدريب,0,99.0
533,32.0,1,منطقة الرياض,PCRF,تقليدية,متقدم,حضوري,5,نعم,البكالوريوس,هندسة حاسب,1,موظف,مفقود,0,60.0
534,25.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,لا,الدبلوم,رياض اطفال,1,موظف,مفقود,1,80.0
535,20.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,نعم,البكالوريوس,تصميم منتجات,1,طالب,مفقود,0,93.2
536,27.0,1,منطقة الرياض,CAUF,مفقود,مبتدئ,عن بعد,5,نعم,البكالوريوس,مساحة بحرية,1,غير موظف,مفقود,0,74.8
537,26.0,0,منطقة الرياض,APMR,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,100.0
538,32.0,1,منطقة مكة المكرمة,CAUF,مفقود,مفقود,عن بعد,26,لا,البكالوريوس,Computer Systems Engineering,1,موظف,مفقود,0,75.0
539,25.0,0,منطقة الرياض,TOSL,تقليدية,متقدم,حضوري,44,نعم,البكالوريوس,هندسة البرمجيات,1,خريج,مفقود,0,50.0
540,20.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,حضوري,19,نعم,البكالوريوس,أمن سيبراني,1,طالب,مفقود,0,74.0
541,23.0,0,منطقة الرياض,CAUF,مفقود,مبتدئ,حضوري,5,نعم,الدبلوم,إدارة الأعمال,0,طالب,دوام كامل,0,80.0
542,25.0,0,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,54,نعم,البكالوريوس,تقنية المعلومات,1,غير موظف,تدريب,0,80.0
543,39.0,1,منطقة الرياض,APMR,مفقود,متوسط,حضوري,19,نعم,البكالوريوس,هندسة حاسب,1,موظف,مفقود,0,86.99999999999999
544,35.0,1,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,5,نعم,البكالوريوس,نظم المعلومات الحاسوبية,1,موظف,دوام كامل,0,75.0
545,26.0,1,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,86.6
546,24.0,0,منطقة عسير,CAUF,مفقود,مفقود,عن بعد,80,نعم,البكالوريوس,علوم حاسب,1,غير موظف,تدريب,0,97.8
547,23.0,1,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,91.60000000000001
548,35.0,0,منطقة الرياض,PCRF,مفقود,متقدم,حضوري,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,مفقود,0,88.2
549,20.0,0,منطقة الرياض,CAUF,مفقود,مبتدئ,حضوري,5,نعم,البكالوريوس,تصميم منتجات,1,عمل حر,مفقود,0,80.0
550,23.0,1,منطقة الرياض,APMR,ناشئة,متوسط,حضوري,26,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,62.4
551,26.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,66,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,85.0
552,30.0,0,منطقة الرياض,PCRF,مفقود,متوسط,حضوري,12,نعم,البكالوريوس,نظم معلومات,1,موظف,مفقود,0,75.0
553,33.0,0,منطقة مكة المكرمة,ABIR,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,مفقود,0,60.0
554,28.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,عن بعد,54,نعم,البكالوريوس,علوم حاسب,1,موظف,تدريب,0,89.25
555,32.0,0,المنطقة الشرقية,APMR,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,تقنية معلومات,1,طالب,مفقود,0,59.25
556,40.0,1,منطقة الرياض,TOSL,تقليدية,متقدم,حضوري,44,نعم,البكالوريوس,علوم حاسب,1,موظف,تدريب,0,80.0
557,28.0,0,منطقة الرياض,TOSL,تقليدية,متوسط,حضوري,5,لا,البكالوريوس,نظم المعلومات,1,موظف,دوام كامل,1,100.0
558,43.0,0,منطقة الرياض,CAUF,مفقود,مبتدئ,عن بعد,5,نعم,الدكتوراه,امراض معدية,1,موظف,مفقود,0,90.0
559,36.0,0,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,47,نعم,البكالوريوس,علوم حاسب,1,غير موظف,دوام كامل,0,80.0
560,41.0,1,منطقة الرياض,GRST,مفقود,متوسط,حضوري,5,نعم,الماجستير,علوم حاسب,1,موظف,مفقود,0,84.475
561,25.0,0,منطقة مكة المكرمة,CAUF,مفقود,مبتدئ,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,75.0
562,26.0,0,منطقة جازان,PCRF,تقليدية,مبتدئ,عن بعد,5,لا,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,83.2
563,22.0,0,المنطقة الشرقية,APMR,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,نظم معلومات,1,طالب,مفقود,0,86.6
564,26.0,0,منطقة الرياض,PCRF,تقليدية,متقدم,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,1,80.0
565,23.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,12,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,88.80000000000001
566,49.0,1,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,60.0
567,25.0,1,منطقة الرياض,APMR,ناشئة,متوسط,حضوري,26,نعم,البكالوريوس,اللغات والترجمة,1,عمل حر,مفقود,0,83.80000000000001
568,42.0,0,منطقة عسير,CAUF,تقليدية,متوسط,عن بعد,5,لا,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,1,100.0
569,28.0,1,منطقة الرياض,TOSL,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,نظم المعلومات,1,موظف,مفقود,1,60.0
570,26.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,78.0
571,28.0,1,منطقة الرياض,TOSL,مفقود,مفقود,حضوري,33,نعم,البكالوريوس,إدارة الشبكات,1,موظف,دوام كامل,0,100.0
572,22.0,1,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,54,نعم,الدبلوم,علوم حاسب,1,طالب,مفقود,0,80.80000000000001
573,23.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,غير موظف,تدريب,1,90.99999999999999
574,29.0,1,منطقة مكة المكرمة,CAUF,مفقود,مبتدئ,عن بعد,5,لا,البكالوريوس,هندسة حاسب,1,موظف,مفقود,0,85.75
575,28.0,1,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,21,نعم,البكالوريوس,الهندسة الكهربائية,0,غير موظف,دوام كامل,0,60.0
576,31.0,0,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,12,نعم,الدبلوم,Communication And Computer Networks,1,موظف,مفقود,0,78.0
577,30.0,0,المنطقة الشرقية,APMR,مفقود,متوسط,عن بعد,54,لا,الماجستير,غير متخصص,1,موظف,مفقود,0,100.0
578,23.0,0,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,26,نعم,البكالوريوس,تقنية معلومات,1,خريج,مفقود,0,85.2
579,44.0,0,منطقة مكة المكرمة,APMR,تقليدية,متوسط,عن بعد,5,نعم,البكالوريوس,تقنية معلومات,1,موظف,مفقود,0,60.0
580,30.0,0,منطقة المدينة المنورة,PCRF,تقليدية,متوسط,عن بعد,173,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,1,77.2
581,34.0,0,منطقة الرياض,APMR,مفقود,مفقود,حضوري,5,نعم,الماجستير,نظم معلومات,1,موظف,مفقود,0,95.0
582,20.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,47,نعم,البكالوريوس,الهندسة الكهربائية,0,طالب,مفقود,0,100.0
583,32.0,1,منطقة الرياض,PCRF,تقليدية,مبتدئ,حضوري,12,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,67.25
584,22.0,1,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,12,نعم,ثانوي,علوم حاسب,1,موظف,مفقود,0,91.0
585,23.0,0,المنطقة الشرقية,CAUF,مفقود,مفقود,عن بعد,80,نعم,البكالوريوس,نظم معلومات,1,طالب,مفقود,0,96.6
586,26.0,0,منطقة الرياض,CAUF,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,85.39999999999999
587,32.0,0,منطقة الرياض,APMR,مفقود,متوسط,حضوري,19,نعم,الماجستير,حاسب، نظم المعلومات,1,موظف,مفقود,0,92.2
588,24.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,54,نعم,البكالوريوس,نظم معلومات,1,خريج,مفقود,0,79.0
589,27.0,1,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,10,نعم,البكالوريوس,الجرافيكس والوسائط المتعددة,1,موظف,مفقود,0,96.2
590,34.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,غير موظف,دوام كامل,0,62.5
591,23.0,0,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,9,نعم,البكالوريوس,تقنية المعلومات,1,خريج,مفقود,0,85.0
592,21.0,1,منطقة الرياض,CAUF,تقليدية,متوسط,حضوري,54,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,100.0
593,42.0,1,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,0,40.0
594,23.0,0,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,5,لا,البكالوريوس,نظم المعلومات,1,غير موظف,تدريب,1,76.0
595,19.0,1,منطقة الرياض,APMR,مفقود,متوسط,حضوري,12,نعم,البكالوريوس,نظم المعلومات,1,طالب,مفقود,0,86.99999999999999
596,23.0,0,منطقة الرياض,INFA,مفقود,مفقود,حضوري,12,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,91.4
597,25.0,0,منطقة المدينة المنورة,PCRF,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,غير موظف,مفقود,0,86.4
598,27.0,1,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,شبكات الحاسب,1,طالب,مفقود,0,61.0
599,20.0,1,منطقة الرياض,CAUF,تقليدية,مبتدئ,عن بعد,5,نعم,ثانوي,هندسة كهربائية,1,طالب,مفقود,0,100.0
600,22.0,0,منطقة الرياض,PCRF,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,نظم المعلومات,1,غير موظف,تدريب,0,100.0
601,23.0,1,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,54,نعم,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,78.0
602,25.0,1,منطقة الرياض,PCRF,مفقود,متقدم,حضوري,19,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,1,83.0
603,29.0,1,المنطقة الشرقية,CAUF,تقليدية,مبتدئ,عن بعد,5,لا,البكالوريوس,علوم حاسب,1,طالب,مفقود,0,94.5
604,24.0,0,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,33,نعم,البكالوريوس,تقنية معلومات,1,خريج,مفقود,0,71.8
605,25.0,1,منطقة عسير,TOSL,مفقود,مفقود,حضوري,248,نعم,البكالوريوس,شبكات الحاسب الآلي,1,موظف,دوام كامل,0,60.0
606,33.0,0,منطقة الرياض,INFA,تقليدية,متوسط,حضوري,12,نعم,الماجستير,أمن سيبراني,1,موظف,مفقود,0,89.0
607,24.0,0,منطقة الرياض,PCRF,مفقود,مفقود,حضوري,12,نعم,البكالوريوس,تقنيه المعلومات,1,موظف,مفقود,0,80.0
608,35.0,1,المنطقة الشرقية,APMR,مفقود,مفقود,حضوري,5,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,80.0
609,23.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,لا,البكالوريوس,تصميم المنتجات,1,خريج,مفقود,1,88.6
610,22.0,0,منطقة الرياض,APMR,تقليدية,متوسط,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,غير موظف,تدريب,0,80.0
611,24.0,1,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,54,نعم,البكالوريوس,هندسة برمجيات,1,غير موظف,مفقود,0,89.60000000000001
612,23.0,1,منطقة الرياض,CAUF,مفقود,مفقود,حضوري,9,نعم,ثانوي,علوم حاسب,1,طالب,مفقود,0,92.0
613,22.0,1,منطقة الرياض,PCRF,ناشئة,مبتدئ,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,طالب,مفقود,0,70.0
614,22.0,0,منطقة مكة المكرمة,PCRF,ناشئة,مبتدئ,عن بعد,5,لا,البكالوريوس,هندسه حاسب,1,طالب,مفقود,1,90.75
615,23.0,0,منطقة الرياض,APMR,ناشئة,مبتدئ,حضوري,12,نعم,البكالوريوس,تقنية المعلومات,1,موظف,مفقود,0,60.0
616,33.0,1,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,تقنية المعلومات,1,غير موظف,دوام كامل,0,60.0
617,24.0,1,منطقة الرياض,CAUF,تقليدية,متوسط,عن بعد,5,لا,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,1,72.5
618,21.0,0,منطقة عسير,APMR,تقليدية,متوسط,عن بعد,12,نعم,البكالوريوس,علوم حاسب,1,غير موظف,تدريب,0,86.6
619,21.0,0,منطقة الرياض,APMR,مفقود,متوسط,عن بعد,5,نعم,البكالوريوس,نظم معلومات,1,طالب,مفقود,0,80.0
620,24.0,1,منطقة الرياض,APMR,مفقود,متوسط,عن بعد,54,لا,البكالوريوس,الأدب الإنجليزي,0,غير موظف,دوام كامل,0,80.0
621,31.0,1,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,54,نعم,الماجستير,امن سيبراني,1,موظف,مفقود,0,75.0
622,25.0,0,منطقة مكة المكرمة,CAUF,مفقود,مبتدئ,عن بعد,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,77.75
623,26.0,0,منطقة الرياض,PCRF,مفقود,متقدم,حضوري,5,نعم,البكالوريوس,علوم حاسب,1,موظف,مفقود,0,60.0
624,23.0,0,منطقة الرياض,TOSL,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,نظم المعلومات الحاسوبية,1,موظف,دوام كامل,0,80.0
625,37.0,0,منطقة الرياض,QWLM,مفقود,متوسط,حضوري,40,نعم,الماجستير,تقنية معلومات,1,موظف,مفقود,0,92.0
626,31.0,1,منطقة الرياض,DTFH,ناشئة,مبتدئ,حضوري,5,نعم,البكالوريوس,تجارة إلكترونية,1,موظف,مفقود,0,50.0
627,25.0,1,منطقة الرياض,PCRF,ناشئة,مبتدئ,حضوري,5,نعم,البكالوريوس,تقنية المعلومات,1,غير موظف,دوام كامل,1,78.4
628,23.0,0,منطقة تبوك,PCRF,مفقود,مفقود,حضوري,19,لا,البكالوريوس,علوم حاسب,1,خريج,مفقود,0,67.0
629,21.0,0,منطقة نجران,CAUF,مفقود,مبتدئ,عن بعد,5,لا,البكالوريوس,نظم المعلومات,1,طالب,دوام كامل,0,80.0
630,31.0,1,منطقة الرياض,GRST,مفقود,متوسط,حضوري,5,لا,البكالوريوس,علوم حاسب,1,موظف,دوام كامل,1,60.0
631,23.0,1,منطقة الرياض,APMR,مفقود,متوسط,حضوري,59,نعم,البكالوريوس,هندسة البرمجيات,1,خريج,مفقود,0,86.6
632,23.0,0,منطقة الرياض,APMR,ناشئة,متوسط,حضوري,26,نعم,الدبلوم,برمجة وقواعد بيانات,1,خريج,مفقود,0,80.80000000000001
633,38.0,0,منطقة الرياض,APMR,مفقود,متوسط,حضوري,59,لا,البكالوريوس,تقنية معلومات,1,غير موظف,مفقود,1,73.25
634,28.0,0,منطقة الرياض,PCRF,تقليدية,مبتدئ,حضوري,12,نعم,الدبلوم,علوم حاسب,1,موظف,مفقود,0,60.0
635,23.0,0,منطقة القصيم,PCRF,مفقود,مفقود,حضوري,19,نعم,البكالوريوس,تقنية المعلومات,1,موظف,مفقود,0,92.2
636,28.0,0,منطقة الرياض,ABIR,مفقود,مفقود,حضوري,12,نعم,الماجستير,هندسة برمجيات,1,موظف,مفقود,0,96.0
637,29.0,1,منطقة جازان,INFA,تقليدية,مبتدئ,عن بعد,5,لا,البكالوريوس,علوم وحاسب,1,خريج,مفقود,1,48.0
638,37.0,1,منطقة الرياض,CAUF,تقليدية,متقدم,حضوري,5,نعم,الماجستير,علوم حاسب,1,موظف,دوام كامل,0,95.5
639,23.0,0,منطقة مكة المكرمة,APMR,تقليدية,مبتدئ,عن بعد,5,نعم,البكالوريوس,نظم المعلومات الإدارية,0,موظف,مفقود,0,80.0
640,23.0,1,منطقة مكة المكرمة,TOSL,مفقود,مفقود,حضوري,33,نعم,البكالوريوس,هندسة برمجيات,1,خريج,مفقود,0,97.6
641,24.0,1,منطقة الرياض,TOSL,مفقود,متوسط,حضوري,33,نعم,البكالوريوس,غير متخصص,1,غير موظف,تدريب,0,50.0
642,42.0,1,منطقة الرياض,APMR,تقليدية,متوسط,حضوري,4,نعم,الدكتوراه,هندسة حاسب,1,موظف,مفقود,0,100.0
643,26.0,1,منطقة الرياض,PCRF,ناشئة,مبتدئ,عن بعد,5,لا,البكالوريوس,هندسة حاسب,1,موظف,مفقود,1,71.2
644,28.0,1,منطقة الرياض,GRST,تقليدية,متوسط,حضوري,5,نعم,البكالوريوس,تقنية المعلومات,1,موظف,دوام كامل,0,60.0
645,25.0,1,منطقة حائل,APMR,مفقود,متوسط,حضوري,59,نعم,البكالوريوس,هندسة برمجيات,1,خريج,مفقود,0,85.0
646,31.0,0,منطقة الرياض,CAUF,مفقود,مبتدئ,حضوري,5,نعم,البكالوريوس,شبكات وانظمة اتصال,1,موظف,مفقود,0,84.00000000000001
647,22.0,0,منطقة الرياض,PCRF,تقليدية,متوسط,حضوري,173,نعم,البكالوريوس,امن سيبراني,1,خريج,مفقود,0,99.4
648,41.0,1,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,5,نعم,البكالوريوس,رياضيات,1,موظف,مفقود,0,56.25
649,23.0,1,منطقة الرياض,PCRF,مفقود,متقدم,حضوري,5,نعم,البكالوريوس,شبكات الحاسب الآلي,1,موظف,دوام كامل,1,82.6
650,28.0,0,منطقة الرياض,CAUF,داعمة,مبتدئ,حضوري,12,نعم,البكالوريوس,الأحياء,0,غير موظف,دوام كامل,0,64.4
